RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,total_late_payments,serious_delinquent,is_young,debt_income_ratio,worsening_delinquency,Utilization_bucket_medium,Utilization_bucket_high,Utilization_bucket_maxed,actual_default,predicted_probability,predicted_decision
0.0,39,0,0.412698413,8000.0,7,0,1,0,2.0,0,0,0,3301.5873039999997,0,False,False,False,0,0.010991518,0
0.013843976,59,0,0.10267398,5833.0,6,0,0,0,0.0,0,0,0,598.89732534,0,False,False,False,0,0.0056140036,0
0.000155035,59,0,0.491822222,11249.0,16,0,3,0,2.0,0,0,0,5532.508175278,0,False,False,False,0,0.016867483,0
0.040508242,39,0,1.0,5400.0,11,0,0,0,0.0,0,0,0,1579.810312844,0,False,False,False,0,0.010140205,0
0.257563644,42,0,0.333333333,7400.0,15,0,1,0,1.0,0,0,0,2466.6666642,0,False,False,False,0,0.020064915,0
0.566811953,43,0,0.428012693,13550.0,15,0,2,0,4.0,0,0,0,5799.57199015,0,True,False,False,0,0.059285957,0
0.134773913,45,0,0.251774823,10000.0,6,0,2,0,6.0,0,0,0,2517.7482299999997,0,False,False,False,0,0.007362218,0
0.9999999,50,98,0.0,1350.0,0,98,0,98,0.0,294,1,0,0.0,1,False,False,True,1,0.73123795,1
0.094621057,72,0,1.0,5400.0,13,0,0,0,0.0,0,0,0,1579.810312844,0,False,False,False,0,0.004737419,0
0.002903132,30,0,1.0,916.0,7,0,1,0,0.0,0,0,1,916.0,0,False,False,False,0,0.010512993,0
0.989400353,51,0,0.87424362,3800.0,6,0,2,0,0.0,0,0,0,3322.125756,0,False,False,True,0,0.071102545,1
0.260255845,69,0,0.233622731,3800.0,5,0,1,0,0.0,0,0,0,887.7663778,0,False,False,False,0,0.007557227,0
0.330920495,45,0,1.0,800.0,11,0,2,0,0.0,0,0,0,800.0,0,True,False,False,0,0.03945011,0
0.9999999,61,0,0.0,3659.0,0,0,0,1,2.0,1,0,0,0.0,0,False,False,True,0,0.4079247,1
0.063629759,75,0,1.0,5400.0,6,0,1,0,0.0,0,0,0,1579.810312844,0,False,False,False,0,0.0034900017,0
0.889577288,47,0,0.092590741,10000.0,4,0,0,0,0.0,0,0,0,925.90741,0,False,True,False,0,0.061446115,1
0.009124772,62,0,0.002352388,4250.0,1,0,0,0,1.0,0,0,0,9.997649,0,False,False,False,0,0.0051572616,0
0.534949046,49,0,0.725689405,6200.0,12,0,2,0,4.0,0,0,0,4499.274311,0,True,False,False,0,0.07449746,1
0.658581183,53,0,0.321926625,9321.0,9,0,2,0,0.0,0,0,0,3000.678071625,0,False,True,False,0,0.038220864,0
0.171521773,46,0,0.69050476,12500.0,11,0,5,0,2.0,0,0,0,8631.309500000001,0,False,False,False,0,0.061692744,1
0.021008224,66,0,1.0,5400.0,11,0,0,0,0.0,0,0,0,1579.810312844,0,False,False,False,0,0.004987811,0
0.161206727,57,0,1.0,5400.0,10,0,2,0,0.0,0,0,0,1579.810312844,0,False,False,False,0,0.012007855,0
0.9999999,43,0,0.25214676,1280.0,2,0,0,0,2.0,0,0,0,322.74785280000003,0,False,False,True,0,0.107714914,1
0.012012093,72,0,0.669768404,4835.0,13,0,3,0,0.0,0,0,0,3238.33023334,0,False,False,False,0,0.032338325,0
0.753549763,47,0,1.0,5400.0,17,0,2,0,2.0,0,0,0,1579.810312844,0,False,True,False,0,0.14365198,1
0.23106255,73,0,0.270052539,5709.0,5,0,1,0,0.0,0,0,0,1541.7299451509998,0,False,False,False,0,0.007504491,0
0.169241956,26,0,0.005623828,4800.0,5,0,0,0,0.0,0,0,1,26.9943744,0,False,False,False,0,0.023030836,0
0.168826405,62,0,0.313863546,10083.0,13,0,1,0,0.0,0,0,0,3164.686134318,0,False,False,False,0,0.009212208,0
0.574030426,30,0,0.322085117,3970.0,9,0,1,0,0.0,0,0,1,1278.67791449,0,True,False,False,0,0.04876242,0
0.244880762,63,2,0.406865061,6350.0,14,0,3,0,0.0,2,0,0,2583.59313735,0,False,False,False,1,0.07586741,1
0.9999999,46,1,1.0,5400.0,5,0,2,0,0.0,1,0,0,1579.810312844,0,False,False,True,0,0.17346637,1
0.011933068,48,0,0.225393805,9458.0,14,0,1,0,1.0,0,0,0,2131.77460769,0,False,False,False,0,0.012526068,0
0.147711678,65,0,0.128289474,2735.0,10,0,0,0,0.0,0,0,0,350.87171139,0,False,False,False,0,0.01907459,0
0.503966402,39,0,0.945621751,2500.0,11,0,2,0,1.0,0,0,0,2364.0543775,0,True,False,False,0,0.07908398,1
0.708458975,49,2,0.214197404,9705.0,12,0,0,2,4.0,4,0,0,2078.78580582,0,False,True,False,0,0.38129425,1
0.276054839,54,0,1.0,5400.0,10,0,2,0,0.0,0,0,0,1579.810312844,0,False,False,False,0,0.016704421,0
0.39120923,53,0,0.314263774,10417.0,17,0,1,0,0.0,0,0,0,3273.685733758,0,True,False,False,0,0.021079242,0
0.090007811,49,0,0.516639269,27374.0,17,0,4,0,2.0,0,0,0,14142.483349606,0,False,False,False,0,0.042435527,0
